model,sensitivity_type,parameter,relative_change,metric,carry_definition,baseline_value,scenario_value,delta,wind_x_mps
spin_factor_lift,parameter,lift_scale,0.2,carry_yd,forward_x,131.305363061,135.076160296,3.77079723433,
spin_factor_lift,parameter,lift_scale,0.2,apex_yd,,9.48426522213,9.79992142358,0.315656201452,
spin_factor_lift,parameter,lift_scale,0.2,lateral_yd,,16.2768515482,16.9770915906,0.700240042333,
spin_factor_lift,parameter,lift_scale,0.2,flight_time_s,,2.83123656487,2.92211835087,0.0908817859972,
spin_factor_lift,wind,no_wind,,carry_yd,forward_x,131.305363061,131.305363061,0,0
spin_factor_lift,wind,no_wind,,apex_yd,,9.48426522213,9.48426522213,0,0
spin_factor_lift,wind,no_wind,,lateral_yd,,16.2768515482,16.2768515482,0,0
spin_factor_lift,wind,no_wind,,flight_time_s,,2.83123656487,2.83123656487,0,0
spin_factor_lift,wind,tailwind_1mps,,carry_yd,forward_x,131.305363061,131.302328742,-0.00303431899638,1
spin_factor_lift,wind,tailwind_1mps,,apex_yd,,9.48426522213,9.45876563839,-0.0254995837408,1
spin_factor_lift,wind,tailwind_1mps,,lateral_yd,,16.2768515482,16.2526995087,-0.0241520395589,1
spin_factor_lift,wind,tailwind_1mps,,flight_time_s,,2.83123656487,2.82293712287,-0.00829944199981,1
spin_factor_lift,wind,headwind_1mps,,carry_yd,forward_x,131.305363061,131.299129679,-0.00623338208661,-1
spin_factor_lift,wind,headwind_1mps,,apex_yd,,9.48426522213,9.50976467384,0.0254994517056,-1
spin_factor_lift,wind,headwind_1mps,,lateral_yd,,16.2768515482,16.300988758,0.0241372098074,-1
spin_factor_lift,wind,headwind_1mps,,flight_time_s,,2.83123656487,2.8395711545,0.0083345896259,-1
spin_factor_lift,spin_decay,spin_decay_6s,,carry_yd,forward_x,131.305363061,128.653389516,-2.65197354589,
spin_factor_lift,spin_decay,spin_decay_6s,,apex_yd,,9.48426522213,9.36859519423,-0.115670027905,
spin_factor_lift,spin_decay,spin_decay_6s,,lateral_yd,,16.2768515482,15.7848787372,-0.491972811012,
spin_factor_lift,spin_decay,spin_decay_6s,,flight_time_s,,2.83123656487,2.76966337042,-0.061573194456,
spin_factor_lift,spin_decay,spin_decay_3s,,carry_yd,forward_x,131.305363061,126.700378702,-4.60498435901,
spin_factor_lift,spin_decay,spin_decay_3s,,apex_yd,,9.48426522213,9.27077528428,-0.213489937848,
spin_factor_lift,spin_decay,spin_decay_3s,,lateral_yd,,16.2768515482,15.4334400641,-0.843411484126,
spin_factor_lift,spin_decay,spin_decay_3s,,flight_time_s,,2.83123656487,2.72420030344,-0.107036261429,
spin_factor_lift,solver_tolerance,rtol_x10,,carry_yd,forward_x,131.305363061,131.305363061,-8.52651282912e-14,
spin_factor_lift,solver_tolerance,rtol_x10,,apex_yd,,9.48426522213,9.48425819834,-7.0237875871e-06,
spin_factor_lift,solver_tolerance,rtol_x10,,lateral_yd,,16.2768515482,16.2768515482,-3.19744231092e-14,
spin_factor_lift,solver_tolerance,rtol_x10,,flight_time_s,,2.83123656487,2.83123656487,0,
spin_factor_lift,solver_tolerance,atol_x10,,carry_yd,forward_x,131.305363061,131.305363061,0,
spin_factor_lift,solver_tolerance,atol_x10,,apex_yd,,9.48426522213,9.48427144067,6.21854034044e-06,
spin_factor_lift,solver_tolerance,atol_x10,,lateral_yd,,16.2768515482,16.2768515482,-2.48689957516e-14,
spin_factor_lift,solver_tolerance,atol_x10,,flight_time_s,,2.83123656487,2.83123656487,0,
spin_factor_lift,solver_tolerance,max_step_x2,,carry_yd,forward_x,131.305363061,131.305363061,0,
spin_factor_lift,solver_tolerance,max_step_x2,,apex_yd,,9.48426522213,9.48365800323,-0.000607218899567,
spin_factor_lift,solver_tolerance,max_step_x2,,lateral_yd,,16.2768515482,16.2768515482,-1.06581410364e-14,
spin_factor_lift,solver_tolerance,max_step_x2,,flight_time_s,,2.83123656487,2.83123656487,0,
spin_factor_lift,solver_tolerance,method_RK45,,carry_yd,forward_x,131.305363061,131.305363061,2.84217094304e-14,
spin_factor_lift,solver_tolerance,method_RK45,,apex_yd,,9.48426522213,9.48426522213,3.5527136788e-15,
spin_factor_lift,solver_tolerance,method_RK45,,lateral_yd,,16.2768515482,16.2768515482,7.1054273576e-15,
spin_factor_lift,solver_tolerance,method_RK45,,flight_time_s,,2.83123656487,2.83123656487,8.881784197e-16,
spin_factor_lift,initial_height,initial_height_0.001m,,carry_yd,forward_x,131.305363061,131.271315436,-0.0340476253873,
spin_factor_lift,initial_height,initial_height_0.001m,,apex_yd,,9.48426522213,9.47442642513,-0.00983879700094,
spin_factor_lift,initial_height,initial_height_0.001m,,lateral_yd,,16.2768515482,16.2727047797,-0.00414676854068,
spin_factor_lift,initial_height,initial_height_0.001m,,flight_time_s,,2.83123656487,2.83046183199,-0.000774732880583,
spin_factor_lift,initial_height,initial_height_0.01m,,carry_yd,forward_x,131.305363061,131.305363061,0,
spin_factor_lift,initial_height,initial_height_0.01m,,apex_yd,,9.48426522213,9.48426522213,0,
spin_factor_lift,initial_height,initial_height_0.01m,,lateral_yd,,16.2768515482,16.2768515482,0,
spin_factor_lift,initial_height,initial_height_0.01m,,flight_time_s,,2.83123656487,2.83123656487,0,
spin_factor_lift,initial_height,initial_height_0.05m,,carry_yd,forward_x,131.305363061,131.456434264,0.151071203036,
spin_factor_lift,initial_height,initial_height_0.05m,,apex_yd,,9.48426522213,9.52800486917,0.0437396470416,
spin_factor_lift,initial_height,initial_height_0.05m,,lateral_yd,,16.2768515482,16.2952521196,0.0184005714043,
spin_factor_lift,initial_height,initial_height_0.05m,,flight_time_s,,2.83123656487,2.83467441306,0.00343784819129,
