model,sensitivity_type,parameter,relative_change,metric,baseline_value,scenario_value,delta,wind_x_mps
spin_factor_lift,parameter,cd,-0.1,carry_yd,133.061213485,141.792264964,8.73105147876,
spin_factor_lift,parameter,cd,-0.1,apex_yd,25.0353872147,27.0327041591,1.99731694441,
spin_factor_lift,parameter,cd,-0.1,lateral_yd,25.7144210672,28.6162400036,2.90181893646,
spin_factor_lift,parameter,cd,-0.1,flight_time_s,6.23269993136,6.53388165714,0.301181725775,
spin_factor_lift,parameter,cd,0.1,carry_yd,133.061213485,125.441250762,-7.61996272358,
spin_factor_lift,parameter,cd,0.1,apex_yd,25.0353872147,23.3263181655,-1.70906904913,
spin_factor_lift,parameter,cd,0.1,lateral_yd,25.7144210672,23.3309031236,-2.38351794359,
spin_factor_lift,parameter,cd,0.1,flight_time_s,6.23269993136,5.96625108982,-0.266448841543,
spin_factor_lift,parameter,cd,0.2,carry_yd,133.061213485,118.727931254,-14.3332822311,
spin_factor_lift,parameter,cd,0.2,apex_yd,25.0353872147,21.8476208563,-3.1877663584,
spin_factor_lift,parameter,cd,0.2,lateral_yd,25.7144210672,21.3438515411,-4.37056952609,
spin_factor_lift,parameter,cd,0.2,flight_time_s,6.23269993136,5.72865686888,-0.504043062482,
spin_factor_lift,parameter,lift_scale,-0.2,carry_yd,133.061213485,126.425205605,-6.63600788079,
spin_factor_lift,parameter,lift_scale,-0.2,apex_yd,25.0353872147,19.1348422499,-5.9005449648,
spin_factor_lift,parameter,lift_scale,-0.2,lateral_yd,25.7144210672,20.5184887362,-5.19593233094,
spin_factor_lift,parameter,lift_scale,-0.2,flight_time_s,6.23269993136,5.28898023881,-0.943719692558,
spin_factor_lift,parameter,lift_scale,-0.1,carry_yd,133.061213485,130.449373036,-2.61184044914,
spin_factor_lift,parameter,lift_scale,-0.1,apex_yd,25.0353872147,22.0361939826,-2.99919323202,
spin_factor_lift,parameter,lift_scale,-0.1,lateral_yd,25.7144210672,23.06448003,-2.64994103714,
spin_factor_lift,parameter,lift_scale,-0.1,flight_time_s,6.23269993136,5.78049587823,-0.452204053138,
spin_factor_lift,parameter,lift_scale,0.1,carry_yd,133.061213485,134.306919669,1.24570618364,
spin_factor_lift,parameter,lift_scale,0.1,apex_yd,25.0353872147,27.9942017701,2.95881455542,
spin_factor_lift,parameter,lift_scale,0.1,lateral_yd,25.7144210672,28.3513376209,2.63691655376,
spin_factor_lift,parameter,lift_scale,0.1,flight_time_s,6.23269993136,6.62969175762,0.396991826253,
spin_factor_lift,parameter,lift_scale,0.2,carry_yd,133.061213485,134.378453847,1.31724036128,
spin_factor_lift,parameter,lift_scale,0.2,apex_yd,25.0353872147,30.7956329703,5.76024575565,
spin_factor_lift,parameter,lift_scale,0.2,lateral_yd,25.7144210672,30.84454622,5.13012515284,
spin_factor_lift,parameter,lift_scale,0.2,flight_time_s,6.23269993136,6.96415869509,0.731458763729,
spin_factor_lift,wind,no_wind,,carry_yd,133.061213485,133.061213485,0,0
spin_factor_lift,wind,no_wind,,apex_yd,25.0353872147,25.0353872147,0,0
spin_factor_lift,wind,no_wind,,lateral_yd,25.7144210672,25.7144210672,0,0
spin_factor_lift,wind,no_wind,,flight_time_s,6.23269993136,6.23269993136,0,0
spin_factor_lift,wind,tailwind_1mps,,carry_yd,133.061213485,136.821394065,3.76018057972,1
spin_factor_lift,wind,tailwind_1mps,,apex_yd,25.0353872147,24.5200719171,-0.515315297569,1
spin_factor_lift,wind,tailwind_1mps,,lateral_yd,25.7144210672,25.6780708148,-0.0363502523661,1
spin_factor_lift,wind,tailwind_1mps,,flight_time_s,6.23269993136,6.15609710372,-0.0766028276432,1
spin_factor_lift,wind,headwind_1mps,,carry_yd,133.061213485,129.12985169,-3.9313617957,-1
spin_factor_lift,wind,headwind_1mps,,apex_yd,25.0353872147,25.5499696312,0.514582416508,-1
spin_factor_lift,wind,headwind_1mps,,lateral_yd,25.7144210672,25.7503708643,0.0359497971527,-1
spin_factor_lift,wind,headwind_1mps,,flight_time_s,6.23269993136,6.30760076439,0.0749008330269,-1
