record_id,ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,club_speed_mph,attack_angle_deg,carry_distance_yd,max_height_yd,total_distance_yd,lateral_offset_yd
185,97.1949,13.06,-3.54,2349.0701,-7.33,2329.873,299.7036,78.8744,-4.15,119.8928,8.76,132.9724,-11.5814
186,94.4882,7.83,6.88,4570.8101,-3.42,4562.6699,272.6709,82.4087,-4.52,96.8723,4.59,112.839,12.0954
187,115.2246,12.16,-3.55,3079.77,-4.55,3070.064,244.3152,82.4982,-4.54,166.5901,13.9,180.8508,-16.3058
188,104.0175,12.39,0.62,3324.71,15.54,3203.1707,-890.7264,84.1535,-5.53,136.5376,10.67,159.077,13.6264
189,96.7922,10.7,-4.07,1770.58,-7.91,1753.7338,243.6626,82.7666,-2.67,100.7437,5.57,157.1741,-14.7857
190,105.0018,13.84,2.13,4663.54,20.84,4358.4399,-1659.0985,81.6929,-5.69,143.0993,13.95,155.8071,24.5626
191,107.4848,14.49,-0.54,3135.78,18.61,2971.8186,-1000.705,82.6324,-4.73,151.7498,14.3,171.7957,14.1404
192,85.6747,12.77,11.51,3461.9099,8.09,3427.4578,-487.1891,77.398,-4.88,93.4602,6.73,133.7052,31.8241
193,108.6256,5.99,-5.49,3765.28,2.83,3760.688,-185.9022,78.4494,-1.75,116.7979,4.49,129.5385,-11.0455
194,102.049,16.13,-3.28,7125.6699,1.8,7122.1538,-223.8227,79.6126,-6.11,142.2135,18.88,153.6964,-8.6067
195,99.7897,13.41,-2.41,7194.77,-21.07,6713.7412,2586.5791,80.5744,-3.83,130.129,13.05,130.129,-22.1785
196,102.832,21.18,3.05,7481.1802,12.7,7298.1499,-1644.709,80.4626,-5.79,146.3801,26.16,151.1374,23.4252
197,109.6994,19.05,-5.99,5571.4302,-5.77,5543.2026,560.1257,78.6954,-3.99,166.1308,26.19,166.1308,-25.4812
198,106.7466,18.31,-1.79,6248.6499,4.74,6227.2793,-516.3526,80.3508,-6.34,156.4523,23.98,163.1234,0.0
199,103.6149,16.31,-1.55,6297.5601,9.0,6220.0269,-985.1554,81.5811,-5.96,146.413,19.18,158.738,6.1242
200,104.9347,21.1,-8.91,6522.77,-7.36,6469.0278,835.5881,76.9059,-2.85,154.1667,27.06,154.1667,-34.241
201,101.2661,21.88,4.07,8467.5596,6.93,8405.6982,-1021.6672,80.0599,-4.8,141.7213,26.95,144.5866,19.4116
202,93.9737,21.51,1.74,9036.6104,14.42,8751.9238,-2250.3687,81.0889,-4.87,126.192,21.88,131.0039,18.5696
203,103.1675,22.69,0.88,7922.4199,6.45,7872.2734,-889.9738,80.9995,-5.06,146.3145,29.18,152.5262,11.811
204,86.5694,21.91,-0.81,4780.9302,-5.7,4757.291,474.8408,78.0914,-3.38,117.5416,17.22,123.6986,-5.6102
205,92.3407,15.27,-3.43,2590.8401,-35.35,2113.1748,1498.9811,72.611,-3.25,111.4064,9.15,111.4064,-18.7117
206,101.9148,11.98,-0.17,4681.8701,0.81,4681.4023,-66.1862,75.7874,-5.33,133.2349,11.26,154.6916,-1.4873
207,107.4848,15.3,3.31,5565.3799,6.22,5532.6177,-602.9887,78.1809,-6.16,155.6868,19.03,163.4186,16.776
208,98.0002,15.75,0.17,3054.5601,-2.18,3052.3494,116.1924,76.369,-5.41,133.4864,13.19,155.0306,-3.248
209,83.2364,16.45,6.18,1701.16,6.63,1689.7834,-196.4113,70.2845,-1.99,94.9913,8.18,126.378,16.1417
210,108.3348,13.13,-2.95,4813.9902,-7.01,4778.0049,587.5118,78.4494,-4.66,153.598,15.3,166.3276,-16.1636
211,95.9869,18.88,5.63,3642.3899,17.01,3483.0488,-1065.5396,76.3243,-3.81,135.3018,16.55,151.892,28.598
212,100.0582,18.94,6.41,4247.5,16.04,4082.1409,-1173.6199,80.3731,-4.8,144.3241,19.02,159.5254,33.8255
