ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,row_type,source,sample_count,candidate_id,rank,seed,parameter_scenario,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,maximum_miss_distance_yd,probability_within_3yd,probability_within_5yd,simulations,launch_direction_sd_deg,supported_fraction,borderline_fraction,out_of_support_fraction,p90_ci_low,p90_ci_high,robustness_statistical_tie,single_surrogate_parameter_scenario,single_surrogate_p90_miss_distance_yd,deprecated_by,legacy_reason,model_member_count,model_combination_rule,simulation_count,worst_model_mean_miss_yd,objective_prediction_std,decision_space_support,full_model_input_support,joint_model_member_count,joint_simulation_count,joint_mean_miss_distance_yd,joint_median_miss_distance_yd,joint_p90_miss_distance_yd,joint_p95_miss_distance_yd,joint_worst_model_mean_miss_yd,joint_probability_within_3yd,joint_probability_within_5yd,joint_objective_prediction_std,joint_parameter_scenario
122.95753008,20.4367367846,0,1000,5.51020408163,183.57779934,6.49103964931,28.1649783016,200,0,-16.4222006603,6.49103964931,17.6584900333,0.910932791479,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,6.73469387755,183.57779934,9.66939656081,28.1560085237,200,0,-16.4222006603,9.66939656081,19.0574369834,0.924457092746,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,7.95918367347,183.545987402,10.3080219599,28.111123291,200,0,-16.4540125979,10.3080219599,19.4162263918,0.940615196076,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,9.18367346939,183.545987402,10.795773508,28.0984611292,200,0,-16.4540125979,10.795773508,19.6795136172,0.952911180442,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,10.4081632653,183.545987402,11.2089023308,28.0804716191,200,0,-16.4540125979,11.2089023308,19.9091441814,0.962493644914,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,11.6326530612,183.545987402,16.1440705775,28.070385459,200,0,-16.4540125979,16.1440705775,23.0513675383,0.974595379369,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,12.8571428571,183.545987402,15.9030173342,28.070385459,200,0,-16.4540125979,15.9030173342,22.8831923233,0.989125226089,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,14.0816326531,183.326346731,16.7703085345,28.070385459,200,0,-16.6736532687,16.7703085345,23.6485509423,1.00598737789,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,15.306122449,183.326346731,17.3841154819,28.0485790783,200,0,-16.6736532687,17.3841154819,24.087718539,1.02426840533,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,16.5306122449,183.326346731,19.1073235807,28.0485790783,200,0,-16.6736532687,19.1073235807,25.3594268023,1.03878697332,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
