ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,row_type,source,sample_count,candidate_id,rank,seed,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,maximum_miss_distance_yd,probability_within_3yd,probability_within_5yd,simulations
120.750989557,19.4818696149,0,1000,14.0816326531,181.290116665,15.0787622872,25.6317330106,200,0,-18.7098833348,15.0787622872,24.0297483657,0.915571561895,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,15.306122449,181.290116665,15.6925692346,25.6099266299,200,0,-18.7098833348,15.6925692346,24.4195917981,0.93754133265,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,16.5306122449,181.290116665,17.342095002,25.6099266299,200,0,-18.7098833348,17.342095002,25.5109387021,0.959649656415,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,17.7551020408,181.512977573,17.9768878905,25.6398105882,200,0,-18.4870224275,17.9768878905,25.7864013864,0.983713110215,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,18.9795918367,181.512977573,19.7138580939,25.6398105882,200,0,-18.4870224275,19.7138580939,27.0260281799,0.99793187146,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,20.2040816327,181.512977573,21.5359829561,25.5899684077,200,0,-18.4870224275,21.5359829561,28.3825397052,1.012238088,1.01189547215,borderline,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,21.4285714286,181.512977573,21.5359829561,25.5301825944,200,0,-18.4870224275,21.5359829561,28.3825397052,1.02470529371,1.01189547215,borderline,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,22.6530612245,180.364662934,21.5600902138,25.5301825944,200,0,-19.6353370659,21.5600902138,29.1613434485,1.03851709314,1.01189547215,borderline,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,23.8775510204,180.364662934,21.7332864372,25.5301825944,200,0,-19.6353370659,21.7332864372,29.2896261679,1.04796537935,1.01189547215,borderline,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,25.1020408163,179.09252134,21.7332864372,25.5301825944,200,0,-20.9074786597,21.7332864372,30.1572280435,1.05976083261,1.01189547215,borderline,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,26.3265306122,179.09252134,21.4813522621,25.5388562092,200,0,-20.9074786597,21.4813522621,29.9761765226,1.07057838584,1.01189547215,borderline,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,27.5510204082,178.657919979,23.0851183842,25.5388562092,200,0,-21.3420800207,23.0851183842,31.4389419418,1.08093066366,1.01189547215,borderline,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,28.7755102041,177.376963901,23.0586268183,25.3362931658,200,0,-22.6230360993,23.0586268183,32.3032820793,1.09371689569,1.01189547215,borderline,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,30,177.376963901,24.0256671605,25.1147743419,200,0,-22.6230360993,24.0256671605,33.0005218876,1.1051506097,1.01189547215,borderline,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-30,167.259059105,-18.7935359424,25.6182985476,200,0,-32.7409408954,-18.7935359424,37.751373537,0.747738670882,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-28.7755102041,170.330447494,-17.4049416578,25.6182985476,200,0,-29.6695525061,-17.4049416578,34.397882784,0.748502350069,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-27.5510204082,170.330447494,-17.0438136977,25.9250001208,200,0,-29.6695525061,-17.0438136977,34.2165739266,0.752996822411,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-26.3265306122,170.330447494,-16.4217805532,25.9250001208,200,0,-29.6695525061,-16.4217805532,33.9110191892,0.761122323808,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-25.1020408163,170.330447494,-16.1715850814,25.9410492649,200,0,-29.6695525061,-16.1715850814,33.790568358,0.766963538162,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-23.8775510204,170.330447494,-16.0593577829,25.9939475869,200,0,-29.6695525061,-16.0593577829,33.7370022129,0.774418245807,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-22.6530612245,174.72804933,-16.0298001647,25.9939475869,200,0,-25.2719506697,-16.0298001647,29.9270109429,0.78096837916,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-21.4285714286,174.746553317,-14.9963824411,25.9939475869,200,0,-25.2534466829,-14.9963824411,29.3705303951,0.786522058913,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-20.2040816327,174.628311593,-14.9963824411,25.978224997,200,0,-25.3716884073,-14.9963824411,29.4722591424,0.792005285865,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-18.9795918367,174.557836741,-14.9553263959,25.978224997,200,0,-25.4421632594,-14.9553263959,29.5121239311,0.799879495743,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-17.7551020408,175.997644395,-14.9199497186,25.978224997,200,0,-24.0023556048,-14.9199497186,28.2615989319,0.804552235924,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-16.5306122449,175.997644395,-14.3423819211,25.9927633878,200,0,-24.0023556048,-14.3423819211,27.9609905717,0.800831024662,1.01189547215,supported,grid,,,,,,,,,,,,
