ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,row_type,source,sample_count,candidate_id,rank,seed,parameter_scenario,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,maximum_miss_distance_yd,probability_within_3yd,probability_within_5yd,simulations,launch_direction_sd_deg,supported_fraction,borderline_fraction,out_of_support_fraction,p90_ci_low,p90_ci_high,robustness_statistical_tie,single_surrogate_parameter_scenario,single_surrogate_p90_miss_distance_yd,deprecated_by,legacy_reason,model_member_count,model_combination_rule,simulation_count,worst_model_mean_miss_yd,objective_prediction_std,decision_space_support,full_model_input_support,joint_model_member_count,joint_simulation_count,joint_mean_miss_distance_yd,joint_median_miss_distance_yd,joint_p90_miss_distance_yd,joint_p95_miss_distance_yd,joint_worst_model_mean_miss_yd,joint_probability_within_3yd,joint_probability_within_5yd,joint_objective_prediction_std,joint_parameter_scenario
81.2244897959,9.59183673469,0,2720.78398552,-1.25452917524,78.5384896679,-1.82044569185,5.4483088383,200,0,-121.461510332,-1.82044569185,121.475151841,0.887455055629,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,10.1020408163,0,2720.78398552,-1.25452917524,78.6349061606,-1.82044569185,5.92755392165,200,0,-121.365093839,-1.82044569185,121.378746184,0.8592971553,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,10.612244898,0,2720.78398552,-1.25452917524,78.2589275556,-1.80422495787,5.92755392165,200,0,-121.741072444,-1.80422495787,121.754441182,0.832445167286,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,11.1224489796,0,2720.78398552,-1.25452917524,81.9071357422,-1.87747067995,6.42416155545,200,0,-118.092864258,-1.87747067995,118.10778757,0.802805952154,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,11.6326530612,0,2720.78398552,-1.25452917524,83.0922528184,-2.04010227556,6.50223486609,200,0,-116.907747182,-2.04010227556,116.925546261,0.777204398402,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,12.1428571429,0,2720.78398552,-1.25452917524,83.0612307175,-2.04010227556,6.56469286105,200,0,-116.938769283,-2.04010227556,116.956563641,0.756174339069,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,12.6530612245,0,2720.78398552,-1.25452917524,84.4270606763,-1.98693202016,6.72817255549,200,0,-115.572939324,-1.98693202016,115.590017747,0.740313135324,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,13.1632653061,0,2720.78398552,-1.25452917524,84.700084289,-1.90283504499,7.31729877699,200,0,-115.299915711,-1.90283504499,115.31561622,0.706354656645,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,13.6734693878,0,2720.78398552,-1.25452917524,84.9713314773,-1.90283504499,7.37246043142,200,0,-115.028668523,-1.90283504499,115.04440605,0.677150332014,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,14.1836734694,0,2720.78398552,-1.25452917524,85.2087154521,-1.90283504499,7.8023697235,200,0,-114.791284548,-1.90283504499,114.807054615,0.656082087834,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
