ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,source,sample_count,candidate_id,rank
124.198458035,23.4631407138,0,1779.95322127,-4.12462198525,200.010305671,-3.10597026331,31.5311197266,200,0,0.0103056712577,-3.10597026331,3.10598736048,1.15462600491,1.01189547215,borderline,lhs,20000,sampling_005480,43
135.836352897,10.3861892579,0,1545.43602658,4.80997883339,200.84896282,3.0051435787,12.9963395608,200,0,0.848962819745,3.0051435787,3.12275932437,0.65502716813,1.01189547215,supported,lhs,20000,sampling_001056,44
131.060018597,11.9049734934,0,2064.85803253,3.7414702971,201.496697018,2.75712432912,17.063128519,200,0,1.49669701826,2.75712432912,3.13717014691,0.515243543281,1.01189547215,supported,lhs,20000,sampling_014500,45
131.409827389,12.9102859856,0,7317.51500677,-1.12775806609,203.116923461,-0.796939748648,25.893051308,200,0,3.11692346116,-0.796939748648,3.21719207162,1.26199087875,1.01189547215,borderline,lhs,20000,sampling_015202,46
123.723034698,18.7357159583,0,2069.65651422,2.0304971772,201.155866863,3.06557464614,27.7663200108,200,0,1.15586686322,3.06557464614,3.27624420893,0.667627431305,1.01189547215,supported,lhs,20000,sampling_016854,47
125.023194845,13.7839061148,0,3339.58082497,-1.8311455504,197.120168469,-1.56896015216,22.5852669991,200,0,-2.87983153068,-1.56896015216,3.27949166856,0.34915490331,1.01189547215,supported,lhs,20000,sampling_008318,48
122.450020515,21.3849241782,0,2135.15943686,1.26275385238,199.334769741,3.2130069813,29.4899637348,200,0,-0.665230258837,3.2130069813,3.28114997511,0.837354322895,1.01189547215,supported,lhs,20000,sampling_016502,49
126.727279255,19.6044148154,0,9223.60502659,-3.43484882959,199.209471545,-3.24281220052,36.6722121744,200,0,-0.790528455352,-3.24281220052,3.33777863355,1.93309288476,1.01189547215,out_of_support,lhs,20000,sampling_013154,50
120.312148286,29.0489279987,0,2303.7721312,-3.40060307833,199.112835121,-3.23443559224,32.3717123199,200,0,-0.887164878509,-3.23443559224,3.35389849608,1.6181796311,1.01189547215,out_of_support,lhs,20000,sampling_005899,51
129.712456874,13.5603837955,0,4630.61983603,1.82280847823,201.188640949,3.31884219793,24.3369956525,200,0,1.18864094873,3.31884219793,3.52527741316,0.560854217312,1.01189547215,supported,lhs,20000,sampling_008681,52
125.882149581,29.0609706785,0,1513.8106566,0.393755015932,202.885755542,2.04807003623,31.4635841328,200,0,2.88575554189,2.04807003623,3.53866866503,1.85754347291,1.01189547215,out_of_support,lhs,20000,sampling_003861,53
137.381524705,11.2555827937,0,1153.25447724,-7.88525397423,197.050438038,-1.96472046771,16.6502179934,200,0,-2.94956196178,-1.96472046771,3.5440149947,0.768234640331,1.01189547215,supported,lhs,20000,sampling_008086,54
127.835942343,13.1886189701,0,9257.01785661,-0.568615098552,196.397879269,0.130952226771,25.9333081107,200,0,-3.60212073082,0.130952226771,3.60450027675,2.03302817215,1.01189547215,out_of_support,lhs,20000,sampling_016674,55
126.839745733,20.7801744568,0,5481.42528787,0.698940511573,202.752776134,2.34840882081,35.6019360961,200,0,2.75277613385,2.34840882081,3.61839749513,0.848852735594,1.01189547215,supported,lhs,20000,sampling_011246,56
127.112082636,21.7829459631,0,1173.92254833,-8.34406119588,197.122969392,-2.32516896552,29.5875098262,200,0,-2.87703060766,-2.32516896552,3.69915069113,1.16317610183,1.01189547215,borderline,lhs,20000,sampling_012393,57
137.345752316,8.58090316885,0,6109.5992578,-1.63130189565,196.306891549,-0.590447609789,19.2628052527,200,0,-3.69310845087,-0.590447609789,3.74001048258,1.06360732546,1.01189547215,borderline,lhs,20000,sampling_001996,58
131.016196306,9.97254765107,0,4007.54537954,5.43301203627,202.269811535,3.05724577696,18.1364072831,200,0,2.26981153466,3.05724577696,3.80772847556,0.47744092038,1.01189547215,supported,lhs,20000,sampling_014320,59
122.752072188,27.5853618277,0,2099.63501214,1.52839347285,200.105995546,3.81864662299,31.6476443284,200,0,0.105995546283,3.81864662299,3.82011741798,1.49150629697,1.01189547215,out_of_support,lhs,20000,sampling_013418,60
124.415344711,25.272332952,0,3835.31559139,-3.62826651385,198.685576836,-3.59028992555,37.2966606557,200,0,-1.31442316402,-3.59028992555,3.82333493218,0.923340326384,1.01189547215,supported,lhs,20000,sampling_002523,61
130.193991576,10.6201666784,0,5829.07848108,-2.01450320146,196.528773387,-1.61605764707,20.0500232688,200,0,-3.47122661291,-1.61605764707,3.82897590967,0.79746236704,1.01189547215,supported,lhs,20000,sampling_000594,62
136.411968092,8.28651502345,0,4585.72345013,-0.104672579286,196.135572507,-0.255315421363,18.0430638278,200,0,-3.86442749335,-0.255315421363,3.87285241337,0.686567437139,1.01189547215,supported,lhs,20000,sampling_007711,63
130.471572972,8.70588806716,0,3127.25779876,5.60847936013,197.205168712,2.70974901751,15.1058629351,200,0,-2.79483128781,2.70974901751,3.89279098658,0.504010170366,1.01189547215,supported,lhs,20000,sampling_011413,64
125.1059056,19.2234924673,0,3020.69672103,-0.745535176436,203.932553273,-0.155770434214,33.3166943932,200,0,3.93255327265,-0.155770434214,3.93563713653,0.575704542075,1.01189547215,supported,lhs,20000,sampling_011277,65
127.983602091,15.6568978772,0,5278.21153458,-2.92728037225,202.033350418,-3.37717027429,29.1254206833,200,0,2.03335041788,-3.37717027429,3.94205441153,0.591905831793,1.01189547215,supported,lhs,20000,sampling_013580,66
