candidate_id,nominal_rank,objective_yd,support_category,selection_method,cluster_id,selected_for_robustness,ball_speed_mph,launch_angle_deg,spin_rate_rpm,spin_axis_deg,launch_direction_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,support_knn_distance,support_threshold,source,rank,seed
local_2029_01425,456,0.416555891207,supported,all_supported_near_optimal,-1,True,126.102730157,22.8803142915,4512.95669973,-2.02927717593,0,200.411594088,-0.0641023951857,36.5084047219,0.824042236034,1.01189547215,local_refinement,474,2029
local_2027_03966,457,0.416555891207,supported,all_supported_near_optimal,-1,True,126.530985692,22.6355161102,4486.64617714,-2.10689410407,0,200.411594088,-0.0641023951857,36.5084047219,0.82932038683,1.01189547215,local_refinement,475,2027
local_2030_03295,458,0.417337056762,supported,all_supported_near_optimal,-1,True,128.846066882,12.9188316587,3776.97640857,0.696400441479,0,200.184946917,0.374118773697,23.2184801635,0.425001524464,1.01189547215,local_refinement,476,2030
local_2030_01942,459,0.417337056762,supported,all_supported_near_optimal,-1,True,128.972913478,12.8286865756,3792.53023058,0.668978130181,0,200.184946917,0.374118773697,22.4368710553,0.43123223972,1.01189547215,local_refinement,477,2030
local_2026_03864,460,0.417643403753,supported,all_supported_near_optimal,-1,True,119.820217348,20.481052071,2583.08993708,-0.0781966354634,0,200.408746502,0.0857456129245,29.5025600042,0.674605702634,1.01189547215,local_refinement,478,2026
local_2026_03227,461,0.420072823471,supported,all_supported_near_optimal,-1,True,121.543506755,19.4199635338,2544.73685754,0.698646944518,0,199.728482025,-0.320529508806,28.199577853,0.613167909788,1.01189547215,local_refinement,479,2026
local_2026_01434,462,0.420232320578,supported,all_supported_near_optimal,-1,True,119.77624511,20.4766255741,2562.01429881,-0.460731128689,0,200.408746502,-0.0975781773567,29.7630081843,0.68289394899,1.01189547215,local_refinement,480,2026
local_2026_02608,463,0.422429023901,supported,all_supported_near_optimal,-1,True,119.673282315,20.0683440825,2578.53533498,-0.405304621501,0,200.408746502,-0.106642288381,28.8920322409,0.665930935087,1.01189547215,local_refinement,481,2026
local_2026_00054,464,0.422429023901,supported,all_supported_near_optimal,-1,True,120.088324496,20.2466229771,2564.90209214,-0.209048021455,0,200.408746502,-0.106642288381,28.8777092863,0.672120703949,1.01189547215,local_refinement,482,2026
local_2026_03523,465,0.422429023901,supported,all_supported_near_optimal,-1,True,119.787401628,20.1952237027,2570.4429084,-0.49252844904,0,200.408746502,-0.106642288381,29.1314310235,0.673751426231,1.01189547215,local_refinement,483,2026
local_2028_01559,466,0.422817122474,supported,all_supported_near_optimal,-1,True,130.503609476,11.3052233208,6447.40247498,-0.858440837344,0,199.833837668,-0.388798660733,24.0702842731,0.959104631448,1.01189547215,local_refinement,484,2028
local_2030_03858,467,0.425108778891,supported,all_supported_near_optimal,-1,True,129.634452265,12.7720769222,3755.56269515,0.47511704935,0,200.184946917,0.382769005768,22.449244329,0.446127084103,1.01189547215,local_refinement,485,2030
local_2030_03813,468,0.425108778891,supported,all_supported_near_optimal,-1,True,129.794857027,12.7295608315,3788.02396642,0.393679545221,0,200.184946917,0.382769005768,21.9580698398,0.45127833013,1.01189547215,local_refinement,486,2030
local_2026_02620,469,0.426617351692,supported,all_supported_near_optimal,-1,True,119.836423954,19.1071051995,2517.55098963,0.193698174313,0,199.603201141,-0.156694065169,27.8131000975,0.605201212839,1.01189547215,local_refinement,487,2026
local_2028_03129,470,0.427821794351,supported,all_supported_near_optimal,-1,True,130.411090555,11.2825352782,6442.66218106,-0.779888274299,0,200.147583515,-0.401560199586,24.0702842731,0.955173356044,1.01189547215,local_refinement,488,2028
local_2026_02469,471,0.428023466767,supported,all_supported_near_optimal,-1,True,119.595175758,19.9773456011,2559.74918298,0.802502836987,0,200.035214411,0.42657242452,28.8629650058,0.652139081318,1.01189547215,local_refinement,489,2026
local_2026_03130,472,0.428023466767,supported,all_supported_near_optimal,-1,True,119.584071186,19.9127281665,2549.31300942,0.291783830544,0,200.035214411,0.42657242452,28.8629650058,0.657067739489,1.01189547215,local_refinement,490,2026
local_2029_00809,473,0.428124310579,supported,all_supported_near_optimal,-1,True,126.250845881,20.9267681117,4485.79189807,-0.91873432493,0,200.199861782,-0.378610212972,35.6477411094,0.745103817972,1.01189547215,local_refinement,491,2029
local_2029_04156,474,0.428124310579,supported,all_supported_near_optimal,-1,True,126.021437025,20.9712477894,4494.51076993,-1.02824554849,0,200.199861782,-0.378610212972,35.6477411094,0.745125006543,1.01189547215,local_refinement,492,2029
local_2027_01584,475,0.428124310579,supported,all_supported_near_optimal,-1,True,126.46932566,20.9070718818,4510.56254029,-1.06413373845,0,200.199861782,-0.378610212972,35.6477411094,0.750054246455,1.01189547215,local_refinement,493,2027
local_2029_00714,476,0.428124310579,supported,all_supported_near_optimal,-1,True,126.330635492,21.239165509,4493.23204558,-1.17052857914,0,200.199861782,-0.378610212972,35.9416315424,0.763206906621,1.01189547215,local_refinement,494,2029
local_2029_01977,477,0.428124310579,supported,all_supported_near_optimal,-1,True,126.192683013,21.3389652699,4487.83401342,-1.45957755279,0,200.199861782,-0.378610212972,35.9183911656,0.766802156959,1.01189547215,local_refinement,495,2029
local_2027_01926,478,0.428124310579,supported,all_supported_near_optimal,-1,True,125.989579777,21.3747846399,4514.90076653,-1.38051984082,0,200.199861782,-0.378610212972,35.9183911656,0.768616414219,1.01189547215,local_refinement,496,2027
local_2027_02045,479,0.428124310579,supported,all_supported_near_optimal,-1,True,125.975862374,21.4337351881,4522.64265863,-1.06320776048,0,200.199861782,-0.378610212972,35.9183911656,0.772142131329,1.01189547215,local_refinement,497,2027
local_2029_04622,480,0.428124310579,supported,all_supported_near_optimal,-1,True,126.098455914,21.47164186,4519.5188192,-0.930373670379,0,200.199861782,-0.378610212972,35.9183911656,0.775606892993,1.01189547215,local_refinement,498,2029
local_2026_04954,481,0.43549025321,supported,all_supported_near_optimal,-1,True,120.157367402,20.4518342354,2573.77888445,-0.383194622325,0,200.408746502,-0.150259968317,29.3941377446,0.679353364305,1.01189547215,local_refinement,499,2026
local_2026_04481,482,0.435605557188,supported,all_supported_near_optimal,-1,True,119.855432996,19.1893401267,2503.04951076,0.0728290571108,0,199.605035997,-0.183727075003,28.058166399,0.613975155818,1.01189547215,local_refinement,500,2026
