candidate_id,parameter_scenario,model_member,model_member_count,model_combination_rule,simulation_count,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,worst_model_mean_miss_yd,probability_within_3yd,probability_within_5yd,objective_prediction_std
local_2029_04837,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.81111662826,5.00895363811,11.7290156215,11.9556407479,5.81111662826,0.318,0.497,0
local_2027_01916,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.8768409583,4.99627939291,11.8107290142,11.9848708163,5.8768409583,0.3085,0.5005,0
local_2029_04026,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,7.0704003433,7.78160959834,11.9598296153,12.1240056972,7.0704003433,0.2535,0.3675,0
local_2027_02060,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.86993689404,5.00073936277,11.8164086385,11.9770993964,5.86993689404,0.3225,0.499,0
local_2029_04379,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,6.15570444431,6.20604897185,11.8747100979,12.0037070243,6.15570444431,0.3075,0.47,0
local_2027_03596,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.62391333463,4.86711792796,11.6340841213,11.9642074694,5.62391333463,0.321,0.541,0
local_2027_03233,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.98442235716,5.16296939096,11.8276630188,11.9841269136,5.98442235716,0.319,0.4795,0
local_2029_03126,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.81365113233,4.94578982607,11.7769687621,11.9846069985,5.81365113233,0.3055,0.517,0
local_2027_03572,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,6.65601125272,7.65972378878,11.9417011796,12.0451993518,6.65601125272,0.2855,0.412,0
local_2029_02136,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,6.14327314197,7.47703330055,11.8543338481,11.990634706,6.14327314197,0.311,0.458,0
local_2027_02513,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.77552844095,4.93296362852,11.8106841857,12.0004439052,5.77552844095,0.324,0.5205,0
local_2027_02017,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.64573611749,4.86392156377,11.7333837315,12.0007242891,5.64573611749,0.322,0.5415,0
local_2027_04856,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,7.22798022534,7.95033849457,12.0190198535,12.1874006112,7.22798022534,0.2515,0.3585,0
local_2029_04488,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,6.6631940881,7.70337600516,11.9849841805,12.0988793501,6.6631940881,0.289,0.415,0
local_2028_02359,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.17622733037,4.79196916574,8.08533239559,9.42688679751,5.17622733037,0.1375,0.531,0
local_2028_03926,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.24178226334,5.03035892443,7.74697975139,9.3157044066,5.24178226334,0.1325,0.4965,0
local_2028_04865,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.44808285039,5.71886641082,7.65475522916,8.31997520676,5.44808285039,0.108,0.4375,0
local_2028_04383,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.26619187408,5.01643259622,7.81432108925,9.31481376613,5.26619187408,0.132,0.4985,0
local_2026_01759,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.27406542081,4.24022787865,8.79081136579,9.8973481969,5.27406542081,0.033,0.6555,0
local_2026_00552,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.05391523721,4.15823413019,8.42072874282,9.44190169706,5.05391523721,0.0335,0.704,0
local_2026_04917,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,8.76785722857,9.26563784212,12.0794423814,12.6309486195,8.76785722857,0.001,0.1785,0
local_2026_01066,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.08053009048,3.32687606851,4.69167998516,5.1757911272,3.08053009048,0.433,0.9315,0
local_2028_03409,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.51752638279,5.60986959303,8.30350313309,9.27204584372,5.51752638279,0.1345,0.4355,0
local_2026_04122,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,8.52128673292,8.92111840172,11.8491606516,12.4324818131,8.52128673292,0.001,0.1975,0
local_2030_02712,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.88343028964,3.75443929322,5.85443585722,6.4588924532,3.88343028964,0.3025,0.832,0
local_2029_00893,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,6.59335357086,7.72146635733,11.9822209311,12.0941665454,6.59335357086,0.298,0.406,0
local_2028_02868,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.4870184416,5.85022173807,7.75179724545,8.34328552941,5.4870184416,0.1335,0.4,0
local_2026_01391,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.22828594774,2.93674695166,5.14120439399,5.63547105681,3.22828594774,0.5155,0.8655,0
