candidate_id,parameter_scenario,model_member_count,model_combination_rule,simulation_count,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,worst_model_mean_miss_yd,probability_within_3yd,probability_within_5yd,objective_prediction_std,support_category,objective_yd,support_knn_distance,decision_space_support,full_model_input_support,out_of_support_fraction
local_2030_04083,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.95607896856,5.70084048592,9.71409165252,11.0392225471,8.20624378201,0.1558,0.3922,1.63094305878,supported,0.322826862791,0.44969869755,supported,supported,0
local_2030_01490,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.13054012971,5.87937787082,9.98390917859,11.182335767,8.48233074326,0.1521,0.3709,1.76700131226,supported,0.322826862791,0.454233011527,supported,supported,0
local_2028_03270,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,9.04246316717,8.02698583813,18.1350941702,19.7057101343,13.9093868317,0.0829,0.1852,2.91433051223,supported,0.323199938714,0.926370700749,supported,supported,0
local_2026_01450,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.21352411183,5.57004053566,10.9902072766,12.0004369794,9.19785429664,0.179,0.4432,2.25679744301,supported,0.323686715994,0.582899309949,supported,supported,0
local_2030_00503,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.12818606601,5.80537281504,10.1178107107,11.5765782344,8.83616384366,0.1635,0.3837,1.91313778284,supported,0.32546665838,0.451968235099,supported,supported,0
local_2026_00467,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,8.4409285162,8.7028145998,13.0841481308,13.7075190014,12.4001010041,0.0703,0.2217,3.18318389017,supported,0.326330980997,0.657062494146,supported,supported,0
local_2026_00480,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,8.69588098895,8.95155190846,13.3963077477,14.0258284262,12.6929166409,0.0578,0.2084,3.27099624047,supported,0.326663138593,0.65586261217,supported,supported,0
local_2026_04382,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.38060468842,5.92777647771,11.1862995045,12.0250135292,9.84960073775,0.1748,0.4222,2.56523076736,supported,0.326720522359,0.631048126127,supported,supported,0
local_2026_04952,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,8.49677549015,8.70499836087,13.2288106175,13.8936317765,12.5217299661,0.0676,0.2254,3.25509950046,supported,0.326810061174,0.65036628749,supported,supported,0
local_2026_03704,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,8.97403611217,9.37561794175,13.4680375865,14.0531944262,12.8527009667,0.0467,0.1785,3.2345330033,supported,0.327039488682,0.661370525944,supported,supported,0
local_2026_04427,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,7.91910813831,7.98962021166,12.5512698449,13.3266308923,11.8650469922,0.0864,0.2705,3.07785341788,supported,0.327227716766,0.662550508141,supported,supported,0
local_2026_04807,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.89052872798,6.38700858361,11.8967877712,12.6386594867,10.5343690909,0.1357,0.3919,2.79723176004,supported,0.3275462769,0.586667868081,supported,supported,0
local_2026_02321,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.70052711567,6.22817275381,11.5675437036,12.3066633617,10.3819221662,0.1538,0.3935,2.74407638482,supported,0.329506550275,0.631607232365,supported,supported,0
local_2026_03328,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,9.27777688961,9.52265198362,14.154829662,14.7560077244,13.4300826098,0.0504,0.1789,3.5764538033,supported,0.330669926405,0.593173043477,supported,supported,0
local_2030_01572,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.97024270824,5.71771270082,9.82914318469,11.0715669541,8.37465736777,0.1614,0.4011,1.71358588722,supported,0.331117554379,0.431260638509,supported,supported,0
