record_id,ball_speed_mph,launch_angle_deg,spin_rate_rpm,spin_axis_deg,loo_knn_distance,support_threshold,support_category
321,112.7416,19.07,4827.3599,-4.43,0.462007653226,1.01189547215,supported
322,93.9737,18.91,3118.51,-7.97,0.388918297737,1.01189547215,supported
323,89.634,12.8,6065.3398,26.81,0.756471242223,1.01189547215,supported
324,95.0698,19.47,6160,5.2,0.527227215088,1.01189547215,supported
325,90.0143,6.79,3111.8601,25.27,0.862801768887,1.01189547215,supported
326,95.7409,20.33,5508.77,-24.6,0.586430612021,1.01189547215,supported
327,89.6788,19.94,4593.1802,21.44,0.568274325196,1.01189547215,supported
329,79.8586,11.12,6528.0801,12.84,0.940376864907,1.01189547215,supported
333,81.2679,3.99,7122.54,2.09,1.36585507251,1.01189547215,borderline
334,91.7368,19.05,3227.54,-4.57,0.419034909583,1.01189547215,supported
335,79.0533,19.36,2163.6599,-8.14,0.819602841251,1.01189547215,supported
336,100.595,18.23,4116.6001,-5.9,0.461613972971,1.01189547215,supported
338,97.5975,20.41,4469.1299,9.1,0.465958776198,1.01189547215,supported
339,102.5635,18.86,5331.96,-4.28,0.379358174733,1.01189547215,supported
340,99.8121,14.81,5639.79,6.6,0.515939734947,1.01189547215,supported
341,100.8411,19.43,4630.8999,-1.45,0.351760015557,1.01189547215,supported
342,104.4426,19.8,4874.5601,-2.95,0.284790425909,1.01189547215,supported
343,92.4526,15.67,5225.5898,23.07,0.586800561698,1.01189547215,supported
344,99.0292,16.76,5832.2998,3.06,0.527707433478,1.01189547215,supported
345,77.398,22.94,7631.0098,-11.7,0.698652013569,1.01189547215,supported
346,84.6904,24.33,7943.7598,-6.84,0.740896855417,1.01189547215,supported
347,83.1693,28.82,5701.0098,-7.46,0.653749786953,1.01189547215,supported
351,106.6795,12.12,3892.96,-27.66,0.472378348979,1.01189547215,supported
352,109.0954,13.03,3723.26,-23.66,0.428016588709,1.01189547215,supported
353,93.2355,16.4,1829.55,-7.18,0.54677788921,1.01189547215,supported
354,104.8228,9.13,3278.6799,-24.39,0.720823137169,1.01189547215,supported
356,88.0234,14.53,1913.8101,-40.53,0.632752378708,1.01189547215,supported
357,99.6108,7.28,2704.0601,-31.86,0.864755619134,1.01189547215,supported
360,110.0349,5.41,2525.6001,1.7,0.632587508551,1.01189547215,supported
362,110.3704,17,4334.7598,-6.35,0.356130434293,1.01189547215,supported
365,108.3348,13.47,4542.7598,-21.09,0.475795135546,1.01189547215,supported
366,85.876,17.82,2054.0901,-33.18,0.716571375708,1.01189547215,supported
367,104.3083,4.26,2216.53,-20.46,0.789711556354,1.01189547215,supported
368,95.9422,17.14,2356.51,-27.66,0.591534332168,1.01189547215,supported
369,100.1476,17.92,2436.97,-17.72,0.568815646105,1.01189547215,supported
370,108.9612,14.37,3441.9299,-26.58,0.521544086044,1.01189547215,supported
371,115.0233,13.05,4031.1499,-34.68,0.673837345085,1.01189547215,supported
372,115.6496,13.98,4975.0898,-26.34,0.621012057833,1.01189547215,supported
374,102.1385,19.59,3825.8,2.22,0.471707125268,1.01189547215,supported
377,112.6074,16.54,1138.29,-56.07,0.861954519131,1.01189547215,supported
