record_id,ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,loo_knn_distance,support_threshold,support_category
132,115.1127,9.23,-5.78,883.53,-37.62,0.806661675891,1.40896007673,supported
133,110.1915,22.93,-0.96,4131.1899,-27.48,1.21625579742,1.40896007673,supported
134,119.0274,9.27,-5.01,1101.67,-41.02,0.690949533303,1.40896007673,supported
136,102.5635,24.35,-7.08,5503.25,-19.18,1.00728047128,1.40896007673,supported
137,76.0558,38.2,-1.25,4166.54,-14.54,1.49067772294,1.40896007673,borderline
138,118.0655,6.95,-4.96,1850.78,-45.49,0.750538356921,1.40896007673,supported
139,116.2983,15.26,-4.82,2538.1499,-53.18,0.887935610343,1.40896007673,supported
140,79.9481,25.75,-0.5,4793.3398,-0.08,0.731041575491,1.40896007673,supported
141,91.692,24.94,-4.33,4739,-13.55,0.774505478998,1.40896007673,supported
143,84.4443,31.58,4.05,3284.8401,6.64,1.31953798353,1.40896007673,supported
146,92.4749,27.57,-3.25,4567.6401,3.19,0.800823237624,1.40896007673,supported
150,87.3524,15.53,-7.72,2093.3,-51.47,1.11409038823,1.40896007673,supported
151,112.7863,15.27,-5.17,4142.5298,-16.85,0.562105257562,1.40896007673,supported
153,117.0589,14.88,-5.27,4868.1401,-17.81,0.675309864885,1.40896007673,supported
155,104.1741,13.72,-10.44,2678.29,-3.8,1.2562084889,1.40896007673,supported
157,89.634,24.44,5.01,4457.2998,25.58,0.822673348574,1.40896007673,supported
158,97.262,24.39,7.13,5794.79,23.48,0.882333650764,1.40896007673,supported
159,87.4195,21.85,0.71,2933.6899,11.15,0.726550464318,1.40896007673,supported
162,106.5005,14.54,-1.99,4092.29,2.37,0.423809802257,1.40896007673,supported
163,95.4053,17.38,0.72,3430.96,18.28,0.613521128805,1.40896007673,supported
164,116.7233,17.48,1.71,5533.0498,16.67,0.708460591361,1.40896007673,supported
167,91.3117,19.38,-14.15,7915.2402,-12.95,1.33146317457,1.40896007673,supported
168,93.3474,14.15,-0.27,1894.63,-61.39,1.26097320815,1.40896007673,supported
169,118.7366,13.94,-5.26,3163.95,9.08,0.585644998222,1.40896007673,supported
170,98.9844,17.59,2.87,754.69,-5.19,0.968248356466,1.40896007673,supported
171,107.1716,4.74,-5.48,1812.39,13.12,0.548365294026,1.40896007673,supported
172,112.0481,6.81,-0.72,1602.88,-5.16,0.699588402208,1.40896007673,supported
173,116.7457,8.57,-3.96,923.05,-55.52,0.66000680393,1.40896007673,supported
176,120.8169,11.27,0.3,3112.3401,15.44,0.560559395569,1.40896007673,supported
177,117.8194,11.81,-5.42,2167.5601,16.14,0.705589406313,1.40896007673,supported
179,119.7879,7.03,-1.5,1482.77,-5.07,0.685362854822,1.40896007673,supported
180,111.1086,2.68,-10.8,2274.0801,10.54,0.799175066173,1.40896007673,supported
181,120.7051,8.51,-2.35,2949.6001,18.38,0.777268789893,1.40896007673,supported
182,115.3364,15.98,1.29,4167.5698,20.29,0.635479110798,1.40896007673,supported
183,115.672,13.07,-3.48,1410.15,-51.55,0.800981449079,1.40896007673,supported
184,111.1086,14.74,0.26,3525.6201,6.39,0.534094003242,1.40896007673,supported
186,94.4882,7.83,6.88,4570.8101,-3.42,1.39943484749,1.40896007673,supported
187,115.2246,12.16,-3.55,3079.77,-4.55,0.576127178006,1.40896007673,supported
189,96.7922,10.7,-4.07,1770.58,-7.91,1.13968542021,1.40896007673,supported
190,105.0018,13.84,2.13,4663.54,20.84,0.597520016461,1.40896007673,supported
191,107.4848,14.49,-0.54,3135.78,18.61,0.675747703904,1.40896007673,supported
192,85.6747,12.77,11.51,3461.9099,8.09,1.36778677443,1.40896007673,supported
194,102.049,16.13,-3.28,7125.6699,1.8,1.00807273551,1.40896007673,supported
196,102.832,21.18,3.05,7481.1802,12.7,0.564115253703,1.40896007673,supported
197,109.6994,19.05,-5.99,5571.4302,-5.77,0.810659999991,1.40896007673,supported
199,103.6149,16.31,-1.55,6297.5601,9,0.758469455574,1.40896007673,supported
200,104.9347,21.1,-8.91,6522.77,-7.36,0.958030045418,1.40896007673,supported
202,93.9737,21.51,1.74,9036.6104,14.42,1.07856254068,1.40896007673,supported
203,103.1675,22.69,0.88,7922.4199,6.45,0.788081107469,1.40896007673,supported
205,92.3407,15.27,-3.43,2590.8401,-35.35,0.777641861698,1.40896007673,supported
207,107.4848,15.3,3.31,5565.3799,6.22,0.572183813056,1.40896007673,supported
209,83.2364,16.45,6.18,1701.16,6.63,0.82726741108,1.40896007673,supported
210,108.3348,13.13,-2.95,4813.9902,-7.01,0.49780406204,1.40896007673,supported
211,95.9869,18.88,5.63,3642.3899,17.01,0.678421706199,1.40896007673,supported
214,108.044,16.79,2.87,5699.3701,9.17,0.580734752509,1.40896007673,supported
215,106.7019,16.03,-0.49,3680.6299,3.39,0.510102789151,1.40896007673,supported
216,115.493,12.08,-0.63,3005.02,24.09,0.633571500859,1.40896007673,supported
217,112.2047,12.65,4.65,4037.8,14.18,0.620584032297,1.40896007673,supported
218,111.3099,13.59,2.64,2914.48,3.94,0.684356198969,1.40896007673,supported
220,104.4649,14.41,0.34,2263.55,16.63,0.596038694194,1.40896007673,supported
222,116.0746,13.22,2.28,4815.6099,14.98,0.602720997033,1.40896007673,supported
224,112.9876,2.72,-5.93,2332.3101,10.83,0.52382306196,1.40896007673,supported
225,111.5113,14.16,6.86,4852.6299,30.52,0.752559471282,1.40896007673,supported
227,114.7772,10.62,-3.03,2139.76,4.54,0.603552146456,1.40896007673,supported
229,120.9288,9.03,11.83,5503.4902,22.27,1.48303631978,1.40896007673,borderline
230,108.7151,14.52,9.07,4122.1499,36.05,0.869420873126,1.40896007673,supported
231,114.9338,13.95,1.79,4814.9199,27.53,0.556150753678,1.40896007673,supported
232,98.5594,8.67,-7.97,6081.3101,11.41,1.43927510775,1.40896007673,borderline
234,121.1077,11.17,1.27,3729.6799,14.96,0.545984181344,1.40896007673,supported
235,110.6836,3.28,-6.12,2273.75,15.83,0.40892240725,1.40896007673,supported
236,109.0954,3.33,-12.9,1136.62,-40.23,1.60140868248,1.40896007673,borderline
238,121.6222,12.46,3.1,2605.9299,7.33,0.597638349088,1.40896007673,supported
239,119.6761,10.08,-3.2,1295.73,7.28,0.640747238243,1.40896007673,supported
240,132.1582,6.64,0.34,2041.59,-17.6,0.867658598651,1.40896007673,supported
241,124.4184,7.52,-3.92,1138.5699,-13.31,0.913291749586,1.40896007673,supported
242,114.4193,17.39,-2.89,4052.28,16.27,0.680671717851,1.40896007673,supported
245,113.5916,20.45,-3.16,3707.0801,-5.41,0.731484456734,1.40896007673,supported
246,113.0995,15.95,0.22,1686.5,-31.95,0.731522310815,1.40896007673,supported
247,118.9379,13.54,0.75,1268.91,-19.21,0.704514800151,1.40896007673,supported
249,122.5394,10.56,4.22,1722.48,4.19,0.775066613512,1.40896007673,supported
250,123.0986,9.02,4.38,4251.02,16.38,0.583880625504,1.40896007673,supported
251,112.2047,5.1,-6.27,2377.8,21.21,0.464776285174,1.40896007673,supported
253,103.7267,22.02,-1.2,3510.3201,10.69,0.620530335565,1.40896007673,supported
255,111.6231,2.62,-10.6,1916.4,10.09,0.786847903695,1.40896007673,supported
257,120.6603,10.16,-5.02,1590.1899,6.29,0.55625645752,1.40896007673,supported
258,99.4318,15.79,-0.8,1667.91,19.19,0.756229291641,1.40896007673,supported
260,121.0182,7.82,-4.19,2125.1299,8.47,0.616587965809,1.40896007673,supported
262,93.6829,35.25,0.52,4893.4199,-7.96,1.22390516546,1.40896007673,supported
263,88.9182,27.39,-7.6,5407.04,-10.48,0.66759172736,1.40896007673,supported
265,75.8769,20.18,3.61,3508.8101,28.67,1.03569517953,1.40896007673,supported
266,100.9306,19.49,6.59,6092.75,15.53,0.64144424573,1.40896007673,supported
267,94.7342,18.95,3.21,6608.0098,25.43,0.712340112554,1.40896007673,supported
268,88.9182,20.4,-1.45,3241.3799,5.25,0.667761203996,1.40896007673,supported
270,108.7598,17.14,-1.71,4948.21,4.67,0.575695495027,1.40896007673,supported
271,108.7151,12.46,-5.13,4354.6699,-2.52,0.543184119307,1.40896007673,supported
272,88.1353,11.94,6.8,4336.7202,-1.84,1.20945964844,1.40896007673,supported
273,91.6696,12.56,-7.21,1623.27,-26.26,1.07039904419,1.40896007673,supported
274,107.9993,12.58,0.6,5274.98,21.34,0.561045020676,1.40896007673,supported
275,113.7706,14.06,-2.94,4256.1099,6.02,0.618500044479,1.40896007673,supported
276,100.1476,8.21,1.82,2056.3501,-45.66,1.07066082699,1.40896007673,supported
