x,carry_distance_yd,feature,feature_label
83.2364,94.9913,ball_speed_mph,Ball speed
108.3348,153.598,ball_speed_mph,Ball speed
95.9869,135.3018,ball_speed_mph,Ball speed
100.0582,144.3241,ball_speed_mph,Ball speed
105.8742,146.0193,ball_speed_mph,Ball speed
108.044,158.6177,ball_speed_mph,Ball speed
106.7019,157.8303,ball_speed_mph,Ball speed
115.493,159.416,ball_speed_mph,Ball speed
112.2047,159.1317,ball_speed_mph,Ball speed
111.3099,161.4939,ball_speed_mph,Ball speed
114.4417,160.4221,ball_speed_mph,Ball speed
104.4649,141.6776,ball_speed_mph,Ball speed
120.884,181.8679,ball_speed_mph,Ball speed
116.0746,169.0289,ball_speed_mph,Ball speed
109.0283,148.7314,ball_speed_mph,Ball speed
112.9876,71.8941,ball_speed_mph,Ball speed
111.5113,152.8106,ball_speed_mph,Ball speed
113.3232,162.9812,ball_speed_mph,Ball speed
114.7772,150.1531,ball_speed_mph,Ball speed
121.3538,168.1649,ball_speed_mph,Ball speed
120.9288,161.8438,ball_speed_mph,Ball speed
108.7151,145.2975,ball_speed_mph,Ball speed
114.9338,162.8062,ball_speed_mph,Ball speed
98.5594,114.3919,ball_speed_mph,Ball speed
109.4533,153.6308,ball_speed_mph,Ball speed
121.1077,175.7437,ball_speed_mph,Ball speed
110.6836,68.7773,ball_speed_mph,Ball speed
109.0954,44.7288,ball_speed_mph,Ball speed
112.2942,58.5192,ball_speed_mph,Ball speed
121.6222,182.699,ball_speed_mph,Ball speed
119.6761,141.1308,ball_speed_mph,Ball speed
132.1582,153.5761,ball_speed_mph,Ball speed
124.4184,120.1444,ball_speed_mph,Ball speed
114.4193,176.8373,ball_speed_mph,Ball speed
98.6936,142.2572,ball_speed_mph,Ball speed
104.1294,123.4252,ball_speed_mph,Ball speed
113.5916,182.2178,ball_speed_mph,Ball speed
113.0995,161.0018,ball_speed_mph,Ball speed
118.9379,162.4563,ball_speed_mph,Ball speed
116.2759,172.0254,ball_speed_mph,Ball speed
122.5394,162.85,ball_speed_mph,Ball speed
123.0986,172.0363,ball_speed_mph,Ball speed
112.2047,93.2524,ball_speed_mph,Ball speed
88.0458,103.6527,ball_speed_mph,Ball speed
103.7267,160.0722,ball_speed_mph,Ball speed
118.8932,161.1439,ball_speed_mph,Ball speed
111.6231,56.682,ball_speed_mph,Ball speed
101.6016,148.8626,ball_speed_mph,Ball speed
120.6603,151.717,ball_speed_mph,Ball speed
99.4318,130.0416,ball_speed_mph,Ball speed
83.8404,116.7323,ball_speed_mph,Ball speed
121.0182,142.7931,ball_speed_mph,Ball speed
110.3481,161.822,ball_speed_mph,Ball speed
93.6829,130.818,ball_speed_mph,Ball speed
88.9182,123.8517,ball_speed_mph,Ball speed
112.1376,163.7249,ball_speed_mph,Ball speed
75.8769,87.5656,ball_speed_mph,Ball speed
100.9306,143.5258,ball_speed_mph,Ball speed
94.7342,126.2139,ball_speed_mph,Ball speed
88.9182,122.091,ball_speed_mph,Ball speed
98.7831,127.4606,ball_speed_mph,Ball speed
108.7598,162.5328,ball_speed_mph,Ball speed
108.7151,152.3731,ball_speed_mph,Ball speed
88.1353,99.0267,ball_speed_mph,Ball speed
91.6696,94.5429,ball_speed_mph,Ball speed
107.9993,146.1177,ball_speed_mph,Ball speed
113.7706,169.7835,ball_speed_mph,Ball speed
100.1476,83.213,ball_speed_mph,Ball speed
80.9995,52.8981,ball_speed_mph,Ball speed
112.4955,91.5245,ball_speed_mph,Ball speed
80.7758,95.7787,ball_speed_mph,Ball speed
112.5626,130.3696,ball_speed_mph,Ball speed
81.9837,84.8425,ball_speed_mph,Ball speed
107.9769,142.4103,ball_speed_mph,Ball speed
100.2819,117.64,ball_speed_mph,Ball speed
116.3878,141.3167,ball_speed_mph,Ball speed
97.262,135.6518,ball_speed_mph,Ball speed
95.8304,136.0346,ball_speed_mph,Ball speed
114.3746,153.423,ball_speed_mph,Ball speed
99.8568,101.8482,ball_speed_mph,Ball speed
96.658,97.08,ball_speed_mph,Ball speed
95.8527,112.9593,ball_speed_mph,Ball speed
101.02,101.2467,ball_speed_mph,Ball speed
96.9265,44.3351,ball_speed_mph,Ball speed
115.068,145.6256,ball_speed_mph,Ball speed
104.711,149.3657,ball_speed_mph,Ball speed
113.5245,121.3801,ball_speed_mph,Ball speed
111.8468,147.7034,ball_speed_mph,Ball speed
95.4053,54.1885,ball_speed_mph,Ball speed
74.2663,75.6999,ball_speed_mph,Ball speed
102.228,128.8605,ball_speed_mph,Ball speed
100.7516,136.5157,ball_speed_mph,Ball speed
111.4442,151.8263,ball_speed_mph,Ball speed
111.4665,155.8618,ball_speed_mph,Ball speed
83.8404,79.2432,ball_speed_mph,Ball speed
85.1154,92.7275,ball_speed_mph,Ball speed
110.9744,132.196,ball_speed_mph,Ball speed
112.764,157.36,ball_speed_mph,Ball speed
107.5519,147.6925,ball_speed_mph,Ball speed
107.7085,125.9296,ball_speed_mph,Ball speed
113.9943,154.4619,ball_speed_mph,Ball speed
93.5934,126.7826,ball_speed_mph,Ball speed
104.0175,153.0512,ball_speed_mph,Ball speed
83.6167,106.2227,ball_speed_mph,Ball speed
96.9712,78.1387,ball_speed_mph,Ball speed
105.8295,160.7174,ball_speed_mph,Ball speed
111.0192,166.9182,ball_speed_mph,Ball speed
89.4327,120.0459,ball_speed_mph,Ball speed
104.3754,151.6295,ball_speed_mph,Ball speed
101.4451,149.5188,ball_speed_mph,Ball speed
111.1534,174.0485,ball_speed_mph,Ball speed
95.9422,134.9409,ball_speed_mph,Ball speed
112.7416,175.0219,ball_speed_mph,Ball speed
93.9737,132.185,ball_speed_mph,Ball speed
89.634,101.9576,ball_speed_mph,Ball speed
